SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,walking,0.06,0.44,0.47,0.31,0.02,0.24,0.13,0.13,0.12,0.12,N/A,-0.04,0.16,0.06,0.11,0.27,0.15,0.15,0.04,1,0.163333333,,0.163333333,,,,
,,,,,,,,,,,,,,,,,,,,,,0.116491228,0.118308391,0.133730717,,,,
167,Document,table,chair,desk,library,books,quiet,silence,music,band,garage,house,neighborhood,street,school,learn,teacher,professor,class,college,drama,,,,,,,0
,table,1,0.61,0.22,0.12,0.12,0.25,0.2,0.04,0.12,0.1,0.14,0.05,0.05,0.1,0.09,0.03,0.11,0.03,0.04,0.03,0.128947368,0.128947368,,0.333157895,0.208333333,0.157058824,
,chair,0.61,1,0.49,0.16,0.19,0.49,0.48,0.13,0.19,0.2,0.28,0.11,0.12,0.16,0.1,0.11,0.2,0.09,0.07,0.04,0.222105263,0.200555556,0.61,,,,
,desk,0.22,0.49,1,0.24,0.25,0.34,0.27,0.01,0.12,0.18,0.09,0.13,0.11,0.27,0.09,0.3,0.24,0.29,0.07,-0.01,0.194736842,0.175882353,0.355,,,,
,library,0.12,0.16,0.24,1,0.89,0.18,0.12,0.06,0.01,0.09,0.09,0.15,0.09,0.22,0.16,0.12,0.1,0.12,0.17,0.01,0.163157895,0.16125,0.173333333,,,,
,books,0.12,0.19,0.25,0.89,1,0.19,0.15,0.07,0.02,0.11,0.09,0.14,0.09,0.22,0.23,0.14,0.14,0.11,0.15,0.05,0.176315789,0.126666667,0.3625,,,,
,quiet,0.25,0.49,0.34,0.18,0.19,1,0.67,0.19,0.21,0.23,0.35,0.33,0.35,0.24,0.1,0.25,0.18,0.16,0.06,0.07,0.254736842,0.242142857,0.29,,,,
,silence,0.2,0.48,0.27,0.12,0.15,0.67,1,0.14,0.14,0.19,0.22,0.14,0.24,0.12,0.06,0.06,0.17,0.03,0.11,0.11,0.190526316,0.133076923,0.315,,,,
,music,0.04,0.13,0.01,0.06,0.07,0.19,0.14,1,0.61,0.04,0.07,0.11,0.07,0.13,0.1,0.1,0.06,0.04,0.04,0.32,0.122631579,0.140833333,0.091428571,,,,
,band,0.12,0.19,0.12,0.01,0.02,0.21,0.14,0.61,1,0.08,0.05,0.12,0.13,0.17,0.03,0.06,0.09,0.15,0.05,0.12,0.13,0.095454545,0.1775,,,,
,garage,0.1,0.2,0.18,0.09,0.11,0.23,0.19,0.04,0.08,1,0.35,0.27,0.3,0.14,0.08,0.07,0.09,0.07,0.06,0,0.139473684,0.143,0.135555556,,,,
,house,0.14,0.28,0.09,0.09,0.09,0.35,0.22,0.07,0.05,0.35,1,0.33,0.31,0.13,0.06,0.04,0.11,0.05,0.09,0.04,0.152105263,,,,,,
,neighborhood,0.05,0.11,0.13,0.15,0.14,0.33,0.14,0.11,0.12,0.27,0.33,1,0.54,0.39,0.18,0.11,0.02,0.16,0.15,0.06,0.183684211,0.20125,0.170909091,,,,
,street,0.05,0.12,0.11,0.09,0.09,0.35,0.24,0.07,0.13,0.3,0.31,0.54,1,0.17,0.07,0.06,0.05,0.04,0.06,0.09,0.154736842,0.077142857,0.2,,,,
,school,0.1,0.16,0.27,0.22,0.22,0.24,0.12,0.13,0.17,0.14,0.13,0.39,0.17,1,0.27,0.46,0.23,0.35,0.5,0.08,0.228947368,0.315,0.189230769,,,,
,learn,0.09,0.1,0.09,0.16,0.23,0.1,0.06,0.1,0.03,0.08,0.06,0.18,0.07,0.27,1,0.2,0.05,0.14,0.19,0.08,0.12,0.132,0.115714286,,,,
,teacher,0.03,0.11,0.3,0.12,0.14,0.25,0.06,0.1,0.06,0.07,0.04,0.11,0.06,0.46,0.2,1,0.11,0.49,0.12,0.02,0.15,0.185,0.140666667,,,,
,professor,0.11,0.2,0.24,0.1,0.14,0.18,0.17,0.06,0.09,0.09,0.11,0.02,0.05,0.23,0.05,0.11,1,0.18,0.29,0.08,0.131578947,0.183333333,0.121875,,,,
,class,0.03,0.09,0.29,0.12,0.11,0.16,0.03,0.04,0.15,0.07,0.05,0.16,0.04,0.35,0.14,0.49,0.18,1,0.12,0.04,0.14,0.08,0.147058824,,,,
,college,0.04,0.07,0.07,0.17,0.15,0.06,0.11,0.04,0.05,0.06,0.09,0.15,0.06,0.5,0.19,0.12,0.29,0.12,1,0.14,0.130526316,0.14,0.13,,,,
,drama,0.03,0.04,-0.01,0.01,0.05,0.07,0.11,0.32,0.12,0,0.04,0.06,0.09,0.08,0.08,0.02,0.08,0.04,0.14,1,0.072105263,,0.072105263,,,,
,,,,,,,,,,,,,,,,,,,,,,0.159315789,0.158974211,0.219163064,,,,
168,Document,table,cable,maple,syrup,pancakes,waffles,butter,milk,cheese,cow,pig,chicken,duck,eagle,flag,pole,hole,plant,dirt,brown,,,,,,,0
,table,1,0,0.12,0.22,0.29,0.25,0.27,0.1,0.17,-0.01,0.07,0.28,0.22,0.06,0.04,0.02,0.08,0.04,0.05,0.12,0.125789474,0.125789474,,0.316842105,0.263888889,0.217058824,
,cable,0,1,0,-0.02,0.06,-0.01,-0.02,0,0,0.06,0.06,0.05,0.06,0.06,0.11,0.05,0.23,0,0.19,0.04,0.048421053,0.051111111,0,,,,
,maple,0.12,0,1,0.58,0.26,0.17,0.25,0.16,0.23,0.06,0.05,0.16,0.08,0.11,0.12,0.07,0.04,0.3,0.06,0.14,0.155789474,0.167058824,0.06,,,,
,syrup,0.22,-0.02,0.58,1,0.41,0.29,0.56,0.4,0.5,0.09,0.07,0.3,0.04,-0.05,0.01,0.07,0.13,0.13,0.15,0.17,0.213157895,0.204375,0.26,,,,
,pancakes,0.29,0.06,0.26,0.41,1,0.36,0.48,0.42,0.46,0.25,0.3,0.51,0.31,0.07,0.13,0.02,0.09,0.01,0.1,0.28,0.253157895,0.252666667,0.255,,,,
,waffles,0.25,-0.01,0.17,0.29,0.36,1,0.4,0.25,0.32,0.04,0.12,0.4,0.09,0.03,0.04,0,-0.04,0.03,0.01,0.12,0.151052632,0.129285714,0.212,,,,
,butter,0.27,-0.02,0.25,0.56,0.48,0.4,1,0.78,0.87,0.34,0.19,0.63,0.12,0.03,0,0.03,0.08,0.06,0.09,0.18,0.281052632,0.261538462,0.323333333,,,,
,milk,0.1,0,0.16,0.4,0.42,0.25,0.78,1,0.82,0.6,0.24,0.56,0.08,0.09,0.02,0.03,0.03,0.03,0.08,0.12,0.253157895,0.225,0.301428571,,,,
,cheese,0.17,0,0.23,0.5,0.46,0.32,0.87,0.82,1,0.37,0.2,0.59,0.1,0.06,0.04,0.03,0.08,0.06,0.08,0.15,0.27,0.16,0.42125,,,,
,cow,-0.01,0.06,0.06,0.09,0.25,0.04,0.34,0.6,0.37,1,0.45,0.34,0.15,0.12,0.1,0.01,0.14,0.03,0.17,0.23,0.186315789,0.174,0.2,,,,
,pig,0.07,0.06,0.05,0.07,0.3,0.12,0.19,0.24,0.2,0.45,1,0.35,0.45,0.15,0.06,0.02,0.2,0.02,0.14,0.2,0.175789474,,,,,,
,chicken,0.28,0.05,0.16,0.3,0.51,0.4,0.63,0.56,0.59,0.34,0.35,1,0.37,0.27,0.09,0.03,0.16,0.03,0.15,0.2,0.287894737,0.1625,0.379090909,,,,
,duck,0.22,0.06,0.08,0.04,0.31,0.09,0.12,0.08,0.1,0.15,0.45,0.37,1,0.4,0.12,0.01,0.28,0.04,0.05,0.25,0.169473684,0.164285714,0.1725,,,,
,eagle,0.06,0.06,0.11,-0.05,0.07,0.03,0.03,0.09,0.06,0.12,0.15,0.27,0.4,1,0.16,0.06,0.12,0.04,0.02,0.16,0.103157895,0.093333333,0.107692308,,,,
,flag,0.04,0.11,0.12,0.01,0.13,0.04,0,0.02,0.04,0.1,0.06,0.09,0.12,0.16,1,0.18,0.06,0.01,0.06,0.12,0.077368421,0.086,0.074285714,,,,
,pole,0.02,0.05,0.07,0.07,0.02,0,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.06,0.18,1,0.08,0.01,0.01,0.04,0.040526316,0.035,0.042,,,,
,hole,0.08,0.23,0.04,0.13,0.09,-0.04,0.08,0.03,0.08,0.14,0.2,0.16,0.28,0.12,0.06,0.08,1,0.06,0.3,0.23,0.123684211,0.196666667,0.11,,,,
,plant,0.04,0,0.3,0.13,0.01,0.03,0.06,0.03,0.06,0.03,0.02,0.03,0.04,0.04,0.01,0.01,0.06,1,0.05,0.09,0.054736842,0.07,0.052941176,,,,
,dirt,0.05,0.19,0.06,0.15,0.1,0.01,0.09,0.08,0.08,0.17,0.14,0.15,0.05,0.02,0.06,0.01,0.3,0.05,1,0.2,0.103157895,0.2,0.097777778,,,,
,brown,0.12,0.04,0.14,0.17,0.28,0.12,0.18,0.12,0.15,0.23,0.2,0.2,0.25,0.16,0.12,0.04,0.23,0.09,0.2,1,0.16,,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,0.161684211,0.153256165,0.180547046,,,,
169,Document,table,food,drinks,hydration,table cloth,silverware,mother,father,sister,brother,family dinner,breakfast,lunch,peanut butter and jelly,homemade Italian,newspaper,television,salt,pepper,plates,,,,,,,0
,table,1,0.08,0.06,0.04,0.87,0.39,0.15,0.12,0.12,0.12,0.27,0.43,0.27,0.27,0.07,0.11,0.05,0.22,0.18,0.24,0.213684211,0.213684211,,0.288421053,0.168333333,0.135882353,
,food,0.08,1,0.11,0.02,0.13,0.21,0.06,0.05,0.03,0.06,0.18,0.17,0.2,0.26,0.12,0.05,0.05,0.16,0.14,0.07,0.113157895,0.115,0.08,,,,
,drinks,0.06,0.11,1,0.13,0.06,0.03,0.05,0.01,0.01,0.01,0.09,0.09,0.12,0.14,0.03,0.03,0.02,0.05,0.09,0.02,0.060526316,0.057647059,0.085,,,,
,hydration,0.04,0.02,0.13,1,0.05,-0.04,-0.01,0.01,0,0,0,-0.03,-0.01,-0.01,-0.01,0.01,0.01,0.41,0.01,0.06,0.033684211,0.028125,0.063333333,,,,
,table cloth,0.87,0.13,0.06,0.05,1,0.43,0.16,0.14,0.12,0.14,0.28,0.4,0.24,0.28,0.11,0.12,0.05,0.22,0.23,0.22,0.223684211,0.209333333,0.2775,,,,
,silverware,0.39,0.21,0.03,-0.04,0.43,1,0.06,0.02,0.2,0.05,0.28,0.34,0.29,0.24,0.09,0.12,0.08,0.09,0.19,0.21,0.172631579,0.161428571,0.204,,,,
,mother,0.15,0.06,0.05,-0.01,0.16,0.06,1,0.55,0.54,0.41,0.28,0.37,0.35,0.19,0.05,0.05,0.04,0.01,0.18,0.04,0.185789474,0.235384615,0.078333333,,,,
,father,0.12,0.05,0.01,0.01,0.14,0.02,0.55,1,0.41,0.47,0.32,0.2,0.15,0.1,0.09,0.1,0.05,0.06,0.17,0.04,0.161052632,0.18,0.128571429,,,,
,sister,0.12,0.03,0.01,0,0.12,0.2,0.54,0.41,1,0.77,0.42,0.29,0.31,0.21,0.09,0.13,0.1,0.05,0.14,0.06,0.210526316,0.233636364,0.17875,,,,
,brother,0.12,0.06,0.01,0,0.14,0.05,0.41,0.47,0.77,1,0.43,0.22,0.2,0.19,0.08,0.14,0.04,0.07,0.1,0.04,0.186315789,0.151,0.225555556,,,,
,family dinner,0.27,0.18,0.09,0,0.28,0.28,0.28,0.32,0.42,0.43,1,0.3,0.29,0.23,0.17,0.11,0.13,0.07,0.17,0.11,0.217368421,,,,,,
,breakfast,0.43,0.17,0.09,-0.03,0.4,0.34,0.37,0.2,0.29,0.22,0.3,1,0.62,0.52,0.04,0.14,0.06,0.15,0.22,0.16,0.246842105,0.23875,0.252727273,,,,
,lunch,0.27,0.2,0.12,-0.01,0.24,0.29,0.35,0.15,0.31,0.2,0.29,0.62,1,0.52,0.07,0.12,0.08,0.1,0.3,0.09,0.226842105,0.182857143,0.2525,,,,
,peanut butter and jelly,0.27,0.26,0.14,-0.01,0.28,0.24,0.19,0.1,0.21,0.19,0.23,0.52,0.52,1,0.12,0.08,0.07,0.22,0.43,0.14,0.221052632,0.176666667,0.241538462,,,,
,homemade Italian,0.07,0.12,0.03,-0.01,0.11,0.09,0.05,0.09,0.09,0.08,0.17,0.04,0.07,0.12,1,0.08,0.06,0.01,0.31,0.09,0.087894737,0.11,0.08,,,,
,newspaper,0.11,0.05,0.03,0.01,0.12,0.12,0.05,0.1,0.13,0.14,0.11,0.14,0.12,0.08,0.08,1,0.51,0.01,0.06,0.08,0.107894737,0.165,0.092666667,,,,
,television,0.05,0.05,0.02,0.01,0.05,0.08,0.04,0.05,0.1,0.04,0.13,0.06,0.08,0.07,0.06,0.51,1,0.02,0.04,0.03,0.078421053,0.03,0.0875,,,,
,salt,0.22,0.16,0.05,0.41,0.22,0.09,0.01,0.06,0.05,0.07,0.07,0.15,0.1,0.22,0.01,0.01,0.02,1,0.21,0.03,0.113684211,0.12,0.112941176,,,,
,pepper,0.18,0.14,0.09,0.01,0.23,0.19,0.18,0.17,0.14,0.1,0.17,0.22,0.3,0.43,0.31,0.06,0.04,0.21,1,0.08,0.171052632,0.08,0.176111111,,,,
,plates,0.24,0.07,0.02,0.06,0.22,0.21,0.04,0.04,0.06,0.04,0.11,0.16,0.09,0.14,0.09,0.08,0.03,0.03,0.08,1,0.095263158,,0.095263158,,,,
,,,,,,,,,,,,,,,,,,,,,,0.156368421,0.149361831,0.153942843,,,,
170,Document,table,cats,dogs,panda,horse,lion,tiger,monkey,football,house,cats,pen,pencil,glass,desk,book,magazine,marker,professor,mansion,,,,,,,0
,table,1,0.06,0.01,0.01,0.05,0.03,0,0.11,0.04,0.14,0.06,0.11,0.14,0.16,0.22,0.16,0.12,0.05,0.11,0.16,0.091578947,0.091578947,,0.203684211,0.138888889,0.112352941,
,cats,0.06,1,0.5,0.2,0.03,0.54,0.46,0.43,0.01,0.25,1,0.26,0.1,0.06,0.03,0.06,0.06,0.03,0.01,0.14,0.222631579,0.231666667,0.06,,,,
,dogs,0.01,0.5,1,0.04,0.09,0.09,0.13,0.18,0.03,0.12,0.5,0.16,0.01,0.03,0.04,0.04,0.05,0,0.03,0.06,0.111052632,0.094117647,0.255,,,,
,panda,0.01,0.2,0.04,1,0.01,0.21,0.16,0.25,0.01,0.16,0.2,0.01,-0.04,0.01,-0.01,0.02,0.01,0.05,-0.02,0.12,0.073684211,0.071875,0.083333333,,,,
,horse,0.05,0.03,0.09,0.01,1,0.02,0.05,0.09,-0.02,0.08,0.03,0.13,0.03,0,-0.01,0.02,-0.02,0,0.04,0.04,0.034736842,0.032,0.045,,,,
,lion,0.03,0.54,0.09,0.21,0.02,1,0.68,0.55,0.03,0.08,0.54,0.16,0.01,0.04,-0.06,0,0.05,0.01,-0.02,-0.01,0.155263158,0.147142857,0.178,,,,
,tiger,0,0.46,0.13,0.16,0.05,0.68,1,0.53,0.09,0.05,0.46,0.17,0.07,0.09,0.04,0.04,0.01,0.06,0.02,0.02,0.164736842,0.126923077,0.246666667,,,,
,monkey,0.11,0.43,0.18,0.25,0.09,0.55,0.53,1,0.04,0.22,0.43,0.17,0.04,0.05,0.05,0.04,0.03,-0.01,0.13,0.15,0.183157895,0.111666667,0.305714286,,,,
,football,0.04,0.01,0.03,0.01,-0.02,0.03,0.09,0.04,1,0.03,0.01,0.03,0.06,0.06,0.08,0.06,0.12,0.06,0.08,0.11,0.048947368,0.063636364,0.02875,,,,
,house,0.14,0.25,0.12,0.16,0.08,0.08,0.05,0.22,0.03,1,0.25,0.11,0.07,0.1,0.09,0.09,0.08,0.01,0.11,0.59,0.138421053,0.15,0.125555556,,,,
,cats,0.06,1,0.5,0.2,0.03,0.54,0.46,0.43,0.01,0.25,1,0.26,0.1,0.06,0.03,0.06,0.06,0.03,0.01,0.14,0.222631579,,,,,,
,pen,0.11,0.26,0.16,0.01,0.13,0.16,0.17,0.17,0.03,0.11,0.26,1,0.42,0.07,0.31,0.21,0.12,0.2,0.12,0.09,0.163684211,0.1925,0.142727273,,,,
,pencil,0.14,0.1,0.01,-0.04,0.03,0.01,0.07,0.04,0.06,0.07,0.1,0.42,1,0.17,0.41,0.21,0.15,0.34,0.03,0.02,0.123157895,0.19,0.084166667,,,,
,glass,0.16,0.06,0.03,0.01,0,0.04,0.09,0.05,0.06,0.1,0.06,0.07,0.17,1,0.21,0.03,0.04,0.03,0.12,0.11,0.075789474,0.09,0.069230769,,,,
,desk,0.22,0.03,0.04,-0.01,-0.01,-0.06,0.04,0.05,0.08,0.09,0.03,0.31,0.41,0.21,1,0.26,0.1,0.13,0.24,0.11,0.119473684,0.168,0.102142857,,,,
,book,0.16,0.06,0.04,0.02,0.02,0,0.04,0.04,0.06,0.09,0.06,0.21,0.21,0.03,0.26,1,0.29,0.13,0.09,0.04,0.097368421,0.1375,0.086666667,,,,
,magazine,0.12,0.06,0.05,0.01,-0.02,0.05,0.01,0.03,0.12,0.08,0.06,0.12,0.15,0.04,0.1,0.29,1,0.1,0.09,0.08,0.081052632,0.09,0.079375,,,,
,marker,0.05,0.03,0,0.05,0,0.01,0.06,-0.01,0.06,0.01,0.03,0.2,0.34,0.03,0.13,0.13,0.1,1,-0.07,0.03,0.062105263,-0.02,0.071764706,,,,
,professor,0.11,0.01,0.03,-0.02,0.04,-0.02,0.02,0.13,0.08,0.11,0.01,0.12,0.03,0.12,0.24,0.09,0.09,-0.07,1,0.07,0.062631579,0.07,0.062222222,,,,
,mansion,0.16,0.14,0.06,0.12,0.04,-0.01,0.02,0.15,0.11,0.59,0.14,0.09,0.02,0.11,0.11,0.04,0.08,0.03,0.07,1,0.108947368,,0.108947368,,,,
,,,,,,,,,,,,,,,,,,,,,,0.117052632,0.113255957,0.119195059,,,,
171,Document,table,chair,pen,pencil,test,paper,book,bench,soccer,teammates,team,ball,coach,teacher,student,friends,family,dog,cat,bunny,,,,,,,0
,table,1,0.61,0.11,0.14,0.05,0.09,0.16,0.31,0.06,0.04,0.02,0.09,0.04,0.03,0.03,0.18,0.12,0.04,0.08,0.01,0.116315789,0.116315789,,0.328421053,0.252222222,0.170588235,
,chair,0.61,1,0.23,0.21,0.03,0.15,0.18,0.39,0.02,0.06,0.02,0.05,0.09,0.11,0.05,0.13,0.11,0.09,0.12,0.14,0.146842105,0.121111111,0.61,,,,
,pen,0.11,0.23,1,0.42,0.04,0.32,0.21,0.33,-0.01,0.02,0,0.11,0.06,0.08,0.08,0.15,0.08,0.15,0.29,0.16,0.148947368,0.146470588,0.17,,,,
,pencil,0.14,0.21,0.42,1,0.16,0.68,0.21,0.27,0.04,0.02,0.04,0.14,0.04,0.13,0.11,0.12,0.03,0.02,0.11,0.11,0.157894737,0.139375,0.256666667,,,,
,test,0.05,0.03,0.04,0.16,1,0.07,0.07,0.07,0,0,0.02,0.03,0.01,0.13,0.2,0.05,0.04,0.01,0.01,0.01,0.052631579,0.048,0.07,,,,
,paper,0.09,0.15,0.32,0.68,0.07,1,0.11,0.1,0.01,0.01,0.03,0.03,0.04,0.13,0.11,0.14,0.05,0.04,0.03,0.12,0.118947368,0.067857143,0.262,,,,
,book,0.16,0.18,0.21,0.21,0.07,0.11,1,0.1,0.04,0,0.04,0.06,0.01,0.13,0.09,0.09,0.09,0.03,0.04,0.02,0.088421053,0.056923077,0.156666667,,,,
,bench,0.31,0.39,0.33,0.27,0.07,0.1,0.1,1,0.29,0.32,0.3,0.37,0.32,0.11,0.02,0.18,0.06,0.05,0.16,0.1,0.202631579,0.19,0.224285714,,,,
,soccer,0.06,0.02,-0.01,0.04,0,0.01,0.04,0.29,1,0.78,0.88,0.64,0.78,0.06,0.11,0.17,0.08,0.01,0,-0.07,0.204736842,0.312727273,0.05625,,,,
,teammates,0.04,0.06,0.02,0.02,0,0.01,0,0.32,0.78,1,0.82,0.47,0.78,-0.02,0.03,0.12,0.06,0.01,-0.02,-0.05,0.181578947,0.22,0.138888889,,,,
,team,0.02,0.02,0,0.04,0.02,0.03,0.04,0.3,0.88,0.82,1,0.49,0.89,0.05,0.12,0.13,0.09,0.05,-0.01,-0.01,0.208947368,,,,,,
,ball,0.09,0.05,0.11,0.14,0.03,0.03,0.06,0.37,0.64,0.47,0.49,1,0.4,0.05,0.03,0.14,0.04,0.06,0.12,-0.04,0.172631579,0.1,0.225454545,,,,
,coach,0.04,0.09,0.06,0.04,0.01,0.04,0.01,0.32,0.78,0.78,0.89,0.4,1,0,0.07,0.14,0.04,-0.01,-0.04,-0.03,0.191052632,0.024285714,0.288333333,,,,
,teacher,0.03,0.11,0.08,0.13,0.13,0.13,0.13,0.11,0.06,-0.02,0.05,0.05,0,1,0.74,0.14,0.07,0.03,0.01,0.1,0.109473684,0.181666667,0.076153846,,,,
,student,0.03,0.05,0.08,0.11,0.2,0.11,0.09,0.02,0.11,0.03,0.12,0.03,0.07,0.74,1,0.11,0.11,0.01,0,0.01,0.106842105,0.048,0.127857143,,,,
,friends,0.18,0.13,0.15,0.12,0.05,0.14,0.09,0.18,0.17,0.12,0.13,0.14,0.14,0.14,0.11,1,0.33,0.09,0.1,0.08,0.136315789,0.15,0.132666667,,,,
,family,0.12,0.11,0.08,0.03,0.04,0.05,0.09,0.06,0.08,0.06,0.09,0.04,0.04,0.07,0.11,0.33,1,0.06,0.07,0,0.080526316,0.043333333,0.0875,,,,
,dog,0.04,0.09,0.15,0.02,0.01,0.04,0.03,0.05,0.01,0.01,0.05,0.06,-0.01,0.03,0.01,0.09,0.06,1,0.36,0.2,0.068421053,0.28,0.043529412,,,,
,cat,0.08,0.12,0.29,0.11,0.01,0.03,0.04,0.16,0,-0.02,-0.01,0.12,-0.04,0.01,0,0.1,0.07,0.36,1,0.16,0.083684211,0.16,0.079444444,,,,
,bunny,0.01,0.14,0.16,0.11,0.01,0.12,0.02,0.1,-0.07,-0.05,-0.01,-0.04,-0.03,0.1,0.01,0.08,0,0.2,0.16,1,0.053684211,,0.053684211,,,,
,,,,,,,,,,,,,,,,,,,,,,0.131526316,0.133670316,0.176805725,,,,
172,Document,table,paper,pencil,desk,book,wood,metal,ground,floor,desk,study,test,lamp,fan,pen,eraser,stapler,eraser shavings,rug,legs,,,,,,,0
,table,1,0.09,0.14,0.22,0.16,0.15,0.1,0.11,0.22,0.22,0.05,0.05,0.2,0.17,0.11,0.09,0.11,0.2,0.24,0.1,0.143684211,0.143684211,,0.244210526,0.154444444,0.097647059,
,paper,0.09,1,0.68,0.34,0.11,0.2,0.11,0.05,0.09,0.34,0.08,0.07,0.08,0.12,0.32,0.24,0.32,0.23,0.13,0.02,0.190526316,0.196111111,0.09,,,,
,pencil,0.14,0.68,1,0.41,0.21,0.23,0.16,0.1,0.15,0.41,0.08,0.16,0.13,0.11,0.42,0.43,0.28,0.45,0.18,0.1,0.254210526,0.235882353,0.41,,,,
,desk,0.22,0.34,0.41,1,0.26,0.08,0.05,0.05,0.39,1,0.15,0.09,0.15,0.16,0.31,0.25,0.2,0.25,0.23,0.07,0.245263158,0.230625,0.323333333,,,,
,book,0.16,0.11,0.21,0.26,1,0.04,0.05,0.04,0.06,0.26,0.16,0.07,0.11,0.12,0.21,0.2,0.18,0.18,0.09,0.05,0.134736842,0.121333333,0.185,,,,
,wood,0.15,0.2,0.23,0.08,0.04,1,0.23,0.19,0.13,0.08,0.02,0.04,0.11,0.07,0.14,0.1,0.38,0.31,0.21,0.06,0.145789474,0.147857143,0.14,,,,
,metal,0.1,0.11,0.16,0.05,0.05,0.23,1,0.14,0.03,0.05,0.06,0.05,0.15,0.07,0.03,0.44,0.32,0.47,0.11,0.03,0.139473684,0.15,0.116666667,,,,
,ground,0.11,0.05,0.1,0.05,0.04,0.19,0.14,1,0.27,0.05,0.07,0.03,0.1,0.2,0.05,0.06,0.01,0.07,0.23,0.32,0.112631579,0.121666667,0.097142857,,,,
,floor,0.22,0.09,0.15,0.39,0.06,0.13,0.03,0.27,1,0.39,0.09,0.02,0.29,0.27,0.11,0.06,0.11,0.13,0.43,0.19,0.180526316,0.19,0.1675,,,,
,desk,0.22,0.34,0.41,1,0.26,0.08,0.05,0.05,0.39,1,0.15,0.09,0.15,0.16,0.31,0.25,0.2,0.25,0.23,0.07,0.245263158,0.186,0.311111111,,,,
,study,0.05,0.08,0.08,0.15,0.16,0.02,0.06,0.07,0.09,0.15,1,0.15,0.07,0.1,0.13,0.18,0.01,0.15,0.04,0.07,0.095263158,,,,,,
,test,0.05,0.07,0.16,0.09,0.07,0.04,0.05,0.03,0.02,0.09,0.15,1,0.11,0.06,0.04,0.09,0,0.1,0.02,0,0.065263158,0.0525,0.074545455,,,,
,lamp,0.2,0.08,0.13,0.15,0.11,0.11,0.15,0.1,0.29,0.15,0.07,0.11,1,0.22,0.1,0.13,0.02,0.15,0.25,0.07,0.136315789,0.134285714,0.1375,,,,
,fan,0.17,0.12,0.11,0.16,0.12,0.07,0.07,0.2,0.27,0.16,0.1,0.06,0.22,1,0.13,0.05,0.03,0.09,0.18,0.16,0.13,0.106666667,0.140769231,,,,
,pen,0.11,0.32,0.42,0.31,0.21,0.14,0.03,0.05,0.11,0.31,0.13,0.04,0.1,0.13,1,0.12,0.11,0.15,0.19,0.11,0.162631579,0.136,0.172142857,,,,
,eraser,0.09,0.24,0.43,0.25,0.2,0.1,0.44,0.06,0.06,0.25,0.18,0.09,0.13,0.05,0.12,1,0.35,0.87,0.13,0.07,0.216315789,0.355,0.179333333,,,,
,stapler,0.11,0.32,0.28,0.2,0.18,0.38,0.32,0.01,0.11,0.2,0.01,0,0.02,0.03,0.11,0.35,1,0.42,0.13,0.01,0.167894737,0.186666667,0.164375,,,,
,eraser shavings,0.2,0.23,0.45,0.25,0.18,0.31,0.47,0.07,0.13,0.25,0.15,0.1,0.15,0.09,0.15,0.87,0.42,1,0.24,0.12,0.254210526,0.18,0.262941176,,,,
,rug,0.24,0.13,0.18,0.23,0.09,0.21,0.11,0.23,0.43,0.23,0.04,0.02,0.25,0.18,0.19,0.13,0.13,0.24,1,0.24,0.184210526,0.24,0.181111111,,,,
,legs,0.1,0.02,0.1,0.07,0.05,0.06,0.03,0.32,0.19,0.07,0.07,0,0.07,0.16,0.11,0.07,0.01,0.12,0.24,1,0.097894737,,0.097894737,,,,
,,,,,,,,,,,,,,,,,,,,,,0.165105263,0.173015493,0.185498361,,,,
173,Document,table,dinner,meal,family,sharing,memories,laughter,friends,display,wood,food,chairs,tablecloth,kitchen,gathering,community,dishes,silverware,operation,game night,,,,,,,0
,table,1,0.57,0.37,0.12,0.13,0.06,0.22,0.18,0.08,0.15,0.08,0.55,0.64,0.58,0.07,0.01,0.58,0.39,0.09,0.1,0.261578947,0.261578947,,0.247894737,0.153333333,0.162941176,
,dinner,0.57,1,0.62,0.23,0.14,0.14,0.39,0.35,0.03,0.11,0.21,0.43,0.61,0.69,0.18,0,0.69,0.46,0.02,0.32,0.325789474,0.312222222,0.57,,,,
,meal,0.37,0.62,1,0.2,0.14,0.11,0.25,0.18,0.07,0.09,0.55,0.22,0.4,0.47,0.23,0.01,0.67,0.35,0.05,0.2,0.272631579,0.246470588,0.495,,,,
,family,0.12,0.23,0.2,1,0.3,0.13,0.12,0.33,0.05,0.04,0.13,0.18,0.07,0.16,0.09,0.2,0.21,0.16,0.01,0.14,0.151052632,0.145,0.183333333,,,,
,sharing,0.13,0.14,0.14,0.3,1,0.12,0.07,0.36,0.16,0.03,0.1,0.1,0.04,0.09,0.15,0.16,0.17,0.12,0.12,0.13,0.138421053,0.128,0.1775,,,,
,memories,0.06,0.14,0.11,0.13,0.12,1,0.2,0.21,0.11,0.09,0.06,0.13,0.14,0.14,0.19,0.09,0.11,0.09,0.14,0.16,0.127368421,0.132857143,0.112,,,,
,laughter,0.22,0.39,0.25,0.12,0.07,0.2,1,0.3,0.06,0.1,0.09,0.36,0.27,0.29,0.23,0.03,0.23,0.15,0.05,0.3,0.195263158,0.189230769,0.208333333,,,,
